Código,Tipo,Liquidación,Fecha,Hora,Moneda,Variación,Último Pcio.,Apertura,Cierre Ant.,Pcio. Máx.,Pcio. Mín.,V.Nominal,Mto. Negoc.,OP
,,,,,,,,,,,,,,
,DO5Z,LETRAS TESORO NAC,Inmed.,28/10/2025 09:17,Dólar Cable,"0,00%","$0,00","$0,00","$91,00","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,DO5Z,LETRAS TESORO NAC,24 hs.,28/10/2025 09:17,Dólar Cable,"0,00%","$0,00","$0,00","$89,50","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,M10N5,LETRAS TESORO NAC,Inmed.,28/10/2025 16:52,Pesos Argentinos,"0,71%","$112,35","$111,42","$111,56","$112,45","$109,10",V$28.570.857,$31.896.163,1.268
,,,,,,,,,,,,,,
,M10N5,LETRAS TESORO NAC,24 hs.,28/10/2025 17:00,Pesos Argentinos,"0,44%","$112,50","$112,90","$112,00","$112,90","$111,00",V$1.827.096.049,$2.044.827.794,1.775
,,,,,,,,,,,,,,
,M15D5,LETRAS TESORO NAC,Inmed.,28/10/2025 13:14,Pesos Argentinos,"-17,91%","$104,00","$124,95","$126,70","$124,95","$104,00",V$20.252,$23.189,4
,,,,,,,,,,,,,,
,M15D5,LETRAS TESORO NAC,24 hs.,28/10/2025 16:56,Pesos Argentinos,"3,56%","$115,99","$112,00","$112,00","$119,00","$109,00",V$4.941.683,$5.710.315,142
,,,,,,,,,,,,,,
,M16E6,LETRAS TESORO NAC,Inmed.,28/10/2025 13:37,Pesos Argentinos,"1,14%","$116,13","$120,00","$114,81","$120,00","$116,13",V$411.653,$493.945,5
,,,,,,,,,,,,,,
,M16E6,LETRAS TESORO NAC,24 hs.,28/10/2025 16:50,Pesos Argentinos,"-0,09%","$119,89","$120,00","$120,00","$121,00","$114,00",V$13.097.390,$15.277.563,272
,,,,,,,,,,,,,,
,M27F6,LETRAS TESORO NAC,Inmed.,28/10/2025 09:17,Pesos Argentinos,"0,00%","$0,00","$0,00","$118,00","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,M27F6,LETRAS TESORO NAC,24 hs.,28/10/2025 15:03,Pesos Argentinos,"7,90%","$116,00","$105,00","$107,50","$119,00","$100,00",V$5.260.585,$6.086.952,56
,,,,,,,,,,,,,,
,MD5X,LETRAS TESORO NAC,Inmed.,28/10/2025 09:17,Pesos Argentinos,"0,00%","$0,00","$0,00","$104,10","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,MD5X,LETRAS TESORO NAC,24 hs.,28/10/2025 09:17,Pesos Argentinos,"0,00%","$0,00","$0,00","$104,18","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,MN5C,LETRAS TESORO NAC,Inmed.,28/10/2025 09:17,Dólar Cable,"0,00%","$0,00","$0,00","$0,07","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,MN5C,LETRAS TESORO NAC,24 hs.,28/10/2025 09:17,Dólar Cable,"0,00%","$0,00","$0,00","$0,08","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,MN5D,LETRAS TESORO NAC,Inmed.,28/10/2025 09:17,Dólar Estadounidense,"0,00%","$0,00","$0,00","$0,07","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,MN5D,LETRAS TESORO NAC,24 hs.,28/10/2025 09:17,Dólar Estadounidense,"0,00%","$0,00","$0,00","$0,07","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,MN5X,LETRAS TESORO NAC,Inmed.,28/10/2025 09:17,Pesos Argentinos,"0,00%","$0,00","$0,00","$110,51","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,MN5X,LETRAS TESORO NAC,24 hs.,28/10/2025 09:17,Pesos Argentinos,"0,00%","$0,00","$0,00","$110,95","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,MN5Y,LETRAS TESORO NAC,Inmed.,28/10/2025 09:17,Dólar Estadounidense,"0,00%","$0,00","$0,00","$0,07","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,MN5Y,LETRAS TESORO NAC,24 hs.,28/10/2025 09:17,Dólar Estadounidense,"0,00%","$0,00","$0,00","$0,07","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,MN5Z,LETRAS TESORO NAC,Inmed.,28/10/2025 09:17,Dólar Cable,"0,00%","$0,00","$0,00","$0,07","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,MN5Z,LETRAS TESORO NAC,24 hs.,28/10/2025 09:17,Dólar Cable,"0,00%","$0,00","$0,00","$0,07","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,S10N5,LETRAS TESORO NAC,Inmed.,28/10/2025 17:00,Pesos Argentinos,"0,16%","$120,69","$120,50","$120,49","$120,93","$119,10",V$4.765.285.961,$5.738.327.118,1.875
,,,,,,,,,,,,,,
,S10N5,LETRAS TESORO NAC,24 hs.,28/10/2025 17:00,Pesos Argentinos,"0,12%","$120,65","$121,00","$120,50","$121,06","$120,08",V$37.111.875.007,$44.764.361.756,2.757
,,,,,,,,,,,,,,
,S16E6,LETRAS TESORO NAC,Inmed.,28/10/2025 17:00,Pesos Argentinos,"3,64%","$111,99","$111,17","$108,05","$117,00","$110,00",V$82.345.210,$91.331.114,160
,,,,,,,,,,,,,,
,S16E6,LETRAS TESORO NAC,24 hs.,28/10/2025 16:56,Pesos Argentinos,"0,54%","$112,10","$111,49","$111,49","$112,80","$110,09",V$134.402.588,$150.205.249,410
,,,,,,,,,,,,,,
,S27F6,LETRAS TESORO NAC,Inmed.,28/10/2025 16:47,Pesos Argentinos,"3,20%","$129,00","$130,00","$125,00","$137,09","$122,97",V$1.029.505,$1.352.602,29
,,,,,,,,,,,,,,
